seed	modeltype	epochs	datasetindex	nsites	true_pos	true_neg	false_pos	false_neg	distance
1	mice	0	11	2	0	500	0	500	6
1	mice	0	11	2	3	498	2	497	8
1	mice	0	11	2	36	451	49	464	10
8	mice	0	12	2	0	500	0	500	0
8	mice	0	12	2	42	457	43	458	2
8	mice	0	12	2	133	367	133	367	3
8	mice	0	12	2	189	302	198	311	5
8	mice	0	12	2	207	276	224	293	6
8	mice	0	12	2	242	252	248	258	8
8	mice	0	12	2	265	238	262	235	10
13	mice	0	13	2	0	500	0	500	0
13	mice	0	13	2	0	500	0	500	2
13	mice	0	13	2	0	500	0	500	3
13	mice	0	13	2	53	461	39	447	5
13	mice	0	13	2	103	409	91	397	6
13	mice	0	13	2	205	302	198	295	8
13	mice	0	13	2	218	281	219	282	10
9	mice	0	14	2	0	500	0	500	0
9	mice	0	14	2	0	500	0	500	2
9	mice	0	14	2	50	449	51	450	3
9	mice	0	14	2	181	326	174	319	5
9	mice	0	14	2	257	255	245	243	6
9	mice	0	14	2	394	115	385	106	8
9	mice	0	14	2	484	10	490	16	10
14	mice	0	15	2	0	500	0	500	0
14	mice	0	15	2	0	500	0	500	2
14	mice	0	15	2	0	500	0	500	3
14	mice	0	15	2	0	500	0	500	5
14	mice	0	15	2	0	500	0	500	6
14	mice	0	15	2	130	362	138	370	8
14	mice	0	15	2	134	358	142	366	10
11	mice	0	16	2	0	500	0	500	0
11	mice	0	16	2	0	500	0	500	2
11	mice	0	16	2	1	500	0	499	3
11	mice	0	16	2	17	478	22	483	5
11	mice	0	16	2	47	446	54	453	6
11	mice	0	16	2	143	342	158	357	8
11	mice	0	16	2	313	171	329	187	10
1	mice	0	17	2	0	500	0	500	0
1	mice	0	17	2	0	500	0	500	2
1	mice	0	17	2	0	500	0	500	3
1	mice	0	17	2	0	500	0	500	5
1	mice	0	17	2	0	500	0	500	6
1	mice	0	17	2	0	500	0	500	8
1	mice	0	17	2	0	499	1	500	10
9	mice	0	18	2	205	293	207	295	0
9	mice	0	18	2	236	270	230	264	2
9	mice	0	18	2	241	267	233	259	3
9	mice	0	18	2	246	260	240	254	5
9	mice	0	18	2	247	260	240	253	6
9	mice	0	18	2	248	255	245	252	8
9	mice	0	18	2	261	230	270	239	10
11	mice	0	19	2	223	274	226	277	0
11	mice	0	19	2	368	110	390	132	2
11	mice	0	19	2	497	4	496	3	3
11	mice	0	19	2	499	3	497	1	5
11	mice	0	19	2	499	2	498	1	6
11	mice	0	19	2	500	0	500	0	8
11	mice	0	19	2	500	0	500	0	10
8	mice	0	20	2	37	452	48	463	0
8	mice	0	20	2	212	297	203	288	2
8	mice	0	20	2	277	217	283	223	3
8	mice	0	20	2	411	97	403	89	5
8	mice	0	20	2	427	73	427	73	6
8	mice	0	20	2	429	73	427	71	8
8	mice	0	20	2	451	53	447	49	10
1	mice	0	21	2	0	500	0	500	0
1	mice	0	21	2	0	500	0	500	2
1	mice	0	21	2	0	500	0	500	3
1	mice	0	21	2	0	500	0	500	5
1	mice	0	21	2	0	500	0	500	6
1	mice	0	21	2	214	304	196	286	8
1	mice	0	21	2	333	166	334	167	10
15	mice	0	22	2	77	397	103	423	0
15	mice	0	22	2	174	309	191	326	2
15	mice	0	22	2	246	249	251	254	3
15	mice	0	22	2	267	225	275	233	5
15	mice	0	22	2	268	225	275	232	6
15	mice	0	22	2	268	225	275	232	8
15	mice	0	22	2	272	223	277	228	10
12	mice	0	23	2	0	500	0	500	0
12	mice	0	23	2	2	497	3	498	2
12	mice	0	23	2	2	495	5	498	3
12	mice	0	23	2	53	444	56	447	5
12	mice	0	23	2	59	444	56	441	6
12	mice	0	23	2	122	390	110	378	8
12	mice	0	23	2	138	370	130	362	10
3	mice	0	24	2	52	452	48	448	0
3	mice	0	24	2	67	426	74	433	2
3	mice	0	24	2	95	410	90	405	3
3	mice	0	24	2	118	401	99	382	5
3	mice	0	24	2	246	274	226	254	6
3	mice	0	24	2	321	202	298	179	8
3	mice	0	24	2	346	181	319	154	10
2	mice	0	25	2	0	500	0	500	0
2	mice	0	25	2	1	500	0	499	2
2	mice	0	25	2	3	499	1	497	3
2	mice	0	25	2	27	476	24	473	5
2	mice	0	25	2	39	470	30	461	6
2	mice	0	25	2	72	449	51	428	8
2	mice	0	25	2	150	371	129	350	10
4	mice	0	26	2	0	500	0	500	0
4	mice	0	26	2	0	500	0	500	2
4	mice	0	26	2	0	500	0	500	3
4	mice	0	26	2	4	499	1	496	5
4	mice	0	26	2	5	497	3	495	6
4	mice	0	26	2	15	491	9	485	8
4	mice	0	26	2	29	477	23	471	10
13	mice	0	27	2	0	500	0	500	0
