seed	datasetindex	modeltype	nsites	oddsdeltatrain	oddsdelta
12	1	mice	5	7.545167130351713	7.787217406247728
13	1	mice	5	10.690546501651705	14.31763463925464
14	1	mice	5	10.898834431110986	12.931363349818014
15	1	mice	5	9.410005784520914	19.179463857353056
1	2	mice	5	3.4687619050712155	9.054238545314
2	2	mice	5	4.170469606213421	9.335309457006094
3	2	mice	5	5.444916266540629	7.436813818356026
4	2	mice	5	2.9975136472697703	5.938402010561932
5	2	mice	5	2.1566492580734753	10.622330112193678
6	2	mice	5	5.771419638073158	7.301726591087643
7	2	mice	5	5.27872621259808	9.421240027879483
8	2	mice	5	5.301193866860353	7.725021659143777
9	2	mice	5	5.254707258371911	8.157902896343868
10	2	mice	5	2.9303516091315345	9.051568388923503
11	2	mice	5	3.938985070055885	8.768455903287562
12	2	mice	5	3.797844575170321	6.657893596119831
13	2	mice	5	6.184203288053515	8.193915462941609
14	2	mice	5	4.055506749528765	7.540220242905638
15	2	mice	5	3.349163183134592	8.134956321241633
1	3	mice	5	4.768426526283858	13.66175403887854
2	3	mice	5	5.134172238315558	13.670827765130822
3	3	mice	5	6.521274697964473	12.287289797866384
4	3	mice	5	5.962385282937773	15.099219427631693
5	3	mice	5	5.23832981556955	17.34683400545855
6	3	mice	5	5.304343817916465	13.889219536434231
7	3	mice	5	6.341787212852217	15.77532153564282
8	3	mice	5	5.878923580413164	10.144689827498729
9	3	mice	5	6.167323172748019	14.34565416966705
10	3	mice	5	7.017298216908171	11.5435183657466
11	3	mice	5	6.431082405187495	14.46471617788916
12	3	mice	5	5.801954063701368	13.99738321828956
13	3	mice	5	8.288139866378025	15.715000018366228
14	3	mice	5	5.809578719435882	16.88131518692251
15	3	mice	5	7.968022445307323	14.877083404067196
1	4	mice	5	1.7625605700051383	6.25244515015948
2	4	mice	5	4.3169843095428915	15.193509765289969
3	4	mice	5	5.351219749330328	16.90207118970177
4	4	mice	5	4.262765175990434	10.972373024536402
5	4	mice	5	4.375841033420227	14.084478707180006
6	4	mice	5	5.887707177546102	9.456489868413025
7	4	mice	5	4.810262421551873	27.69073338301261
8	4	mice	5	3.9101828937260557	19.277121950381318
9	4	mice	5	4.413538488951048	18.471698309007042
10	4	mice	5	6.151167098865266	19.63393429686485
11	4	mice	5	4.8595504983953814	17.92051038451519
12	4	mice	5	5.053095292482112	17.210974529327405
13	4	mice	5	5.382736992404934	17.917108130043907
14	4	mice	5	3.3953114840141687	16.189619353965032
15	4	mice	5	4.422286207483671	16.11009363325182
1	5	mice	5	8.943216460895668	13.738359149079459
2	5	mice	5	9.245323149445255	13.814390388253003
3	5	mice	5	6.2849991692598985	7.424403780730616
4	5	mice	5	7.261378545018055	7.3691546697007855
5	5	mice	5	12.285761552925687	17.5820050966108
6	5	mice	5	11.193704252282819	14.32310992382777
7	5	mice	5	10.926432498159954	11.44842587709069
8	5	mice	5	7.914597067581654	10.06385448615704
9	5	mice	5	6.801199153945284	11.199087658666429
10	5	mice	5	14.841640745169457	16.389896205645854
11	5	mice	5	8.70281739381112	10.343130714514254
12	5	mice	5	8.884027948299346	10.312459327411101
13	5	mice	5	9.02474240731271	11.132650485245032
14	5	mice	5	7.572243876041371	9.575594988154888
15	5	mice	5	6.133483126019543	8.000762651676364
1	6	mice	5	9.881896317784426	10.68346825928051
2	6	mice	5	11.603334427870095	14.950668373249643
3	6	mice	5	10.016075759991237	11.097992247087863
4	6	mice	5	8.661276984958223	14.154154227188666
5	6	mice	5	9.102803615537036	11.027837053147701
6	6	mice	5	10.156356351321914	13.82620918195916
7	6	mice	5	10.700594573047612	13.332287344102399
8	6	mice	5	8.38318672159592	10.432593387484925
9	6	mice	5	9.42960924544673	10.47831787714851
10	6	mice	5	9.331375551075846	10.652044367025322
11	6	mice	5	10.51513653252381	13.918856086111807
12	6	mice	5	8.75916650376648	11.887765441867337
13	6	mice	5	9.35801353311148	12.372382168086341
14	6	mice	5	10.859228497753456	11.17176677984574
15	6	mice	5	9.47038708344074	12.897917983608883
1	7	mice	5	7.869037669484819	10.454420818159363
2	7	mice	5	10.933441848084058	15.515263028336646
3	7	mice	5	7.001770911269246	7.117699942359222
4	7	mice	5	9.32761982607849	8.75765561730678
5	7	mice	5	7.753917087398754	7.476127524404411
6	7	mice	5	7.6116779451745415	7.362751582411204
7	7	mice	5	7.87924473810742	7.69495727136125
8	7	mice	5	8.113009594859664	10.090452126511355
9	7	mice	5	7.670267389676009	10.0036082433536
10	7	mice	5	8.738464178563955	11.687353351452636
11	7	mice	5	7.210274987618942	7.931646189386773
12	7	mice	5	7.597869559504539	7.872533049383451
13	7	mice	5	10.02976980258813	11.204426772442348
14	7	mice	5	6.097972552709674	8.11662757043006
15	7	mice	5	8.003149017509642	11.024994390502227
1	8	mice	5	11.065458776342235	11.659759664875098
2	8	mice	5	8.600881084058443	11.54412716442962
3	8	mice	5	9.417573089776802	9.395759813161492
4	8	mice	5	9.390851574481923	11.797185806571381
5	8	mice	5	10.005365811857473	12.467611401046875
6	8	mice	5	8.63849596988989	9.989015135681639
